datetime,timestamp,location,latitude,longitude,request_status,precipIntensityMax_mmhr,precipIntensitySum_mm,temperatureMax_C,temperatureMin_C,temperatureMean_C,humidityMean,no_daily,no_hourly,uvIndex,sunshineTime
2017-01-01 17:00:00+08:00,1483261200,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-02 17:00:00+08:00,1483347600,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-03 17:00:00+08:00,1483434000,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-04 17:00:00+08:00,1483520400,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-05 17:00:00+08:00,1483606800,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-06 17:00:00+08:00,1483693200,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-07 17:00:00+08:00,1483779600,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-08 17:00:00+08:00,1483866000,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-09 17:00:00+08:00,1483952400,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-10 17:00:00+08:00,1484038800,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-11 17:00:00+08:00,1484125200,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-12 17:00:00+08:00,1484211600,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-13 17:00:00+08:00,1484298000,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-14 17:00:00+08:00,1484384400,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-15 17:00:00+08:00,1484470800,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-16 17:00:00+08:00,1484557200,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-17 17:00:00+08:00,1484643600,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-18 17:00:00+08:00,1484730000,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-19 17:00:00+08:00,1484816400,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-20 17:00:00+08:00,1484902800,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-21 17:00:00+08:00,1484989200,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-22 17:00:00+08:00,1485075600,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-23 17:00:00+08:00,1485162000,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-24 17:00:00+08:00,1485248400,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
2017-01-25 17:00:00+08:00,1485334800,Kinabatangan,5.428298000000001,118.46194799999999,200.0,,,,,,,,,,
